Halifax;MA;41.999851;-70.853950
Hanover;MA;42.128670;-70.859130
Hanson;MA;42.059434;-70.862050
Holbrook;MA;42.148351;-71.010370
Manomet;MA;41.888198;-70.581029
Lakeville;MA;41.835094;-70.959730
Middleboro;MA;41.970474;-70.701357
Monponsett;MA;42.018525;-70.847486
Abington;MA;42.119534;-70.947870
North Carver;MA;41.916918;-70.801331
North Easton;MA;42.064499;-71.087091
North Pembroke;MA;41.805219;-70.626420
Pembroke;MA;42.065554;-70.804260
Plymouth;MA;41.970474;-70.701357
Kingston;MA;41.993102;-70.738270
South Carver;MA;41.854063;-70.660880
Plympton;MA;41.968987;-70.804520
Randolph;MA;42.173417;-71.049120
Rockland;MA;42.129513;-70.911890
South Easton;MA;42.029749;-71.101910
West Bridgewater;MA;42.021950;-71.018780
White Horse Beach;MA;41.931602;-70.561051
Whitman;MA;42.082350;-70.937340
Brockton;MA;42.086300;-70.999339
Scituate;MA;42.136086;-70.688251
Brookline;MA;42.324397;-71.139330
Brookline Village;MA;42.180048;-71.089230
New Town;MA;42.446396;-71.459405
Babson Park;MA;42.180048;-71.089230
Newton Center;MA;42.321197;-71.193000
Newtonville;MA;42.352996;-71.209070
Newton Highlands;MA;42.318830;-71.208220
Newton Lower Falls;MA;42.331646;-71.257610
Newton Upper Falls;MA;42.311997;-71.220460
West Newton;MA;42.351046;-71.226770
Arlington;MA;42.419496;-71.156350
Watertown;MA;42.446396;-71.459405
Wellesley Hills;MA;42.313329;-71.276490
Nonantum;MA;42.446396;-71.459405
Cataumet;MA;41.665660;-70.616000
Chilmark;MA;41.345578;-70.751450
East Falmouth;MA;41.578992;-70.561400
East Sandwich;MA;41.733837;-70.437540
East Wareham;MA;41.782915;-70.648810
Edgartown;MA;41.380479;-70.524530
Falmouth;MA;41.561050;-70.619680
Buzzards Bay;MA;41.665605;-70.524560
Woods Hole;MA;41.526791;-70.665050
Oak Bluffs;MA;41.453321;-70.558023
Menemsha;MA;41.379836;-70.643092
Monument Beach;MA;41.673360;-70.608047
North Falmouth;MA;41.640300;-70.630360
Onset;MA;41.746424;-70.659560
Pocasset;MA;41.694132;-70.617060
Sagamore Beach;MA;41.793263;-70.519584
Sandwich;MA;41.735645;-70.488660
Siasconset;MA;41.273949;-70.015545
Silver Beach;MA;41.799312;-70.308662
Sagamore;MA;41.791970;-70.530852
Wareham;MA;41.751554;-70.710590
Vineyard Haven;MA;41.379836;-70.643092
West Falmouth;MA;41.603946;-70.638189
West Wareham;MA;41.776042;-70.757830
Nantucket;MA;41.277794;-70.046019
West Tisbury;MA;41.381585;-70.663510
Hyannis;MA;41.654741;-70.289500
Barnstable Town;MA;41.640528;-70.433279
Barnstable;MA;41.700327;-70.295680
Brewster;MA;41.746647;-70.077730
Centerville;MA;41.658718;-70.346580
Chatham;MA;41.686534;-69.977460
Cotuit;MA;41.625037;-70.443170
Cummaquid;MA;41.701438;-70.277212
Dennis;MA;41.736684;-70.191830
Dennis Port;MA;41.661115;-70.133480
East Dennis;MA;41.734713;-70.204670
Eastham;MA;41.844087;-69.989210
East Orleans;MA;41.784308;-69.962034
Forestdale;MA;41.683462;-70.512110
Harwich;MA;41.707332;-70.056790
Harwich Port;MA;41.669219;-70.074190
Hyannis Port;MA;41.632750;-70.304350
Marstons Mills;MA;41.667689;-70.416800
Mashpee;MA;41.613743;-70.487540
North Chatham;MA;41.702265;-69.969580
North Eastham;MA;41.824264;-69.981760
North Truro;MA;42.028890;-70.079380
Orleans;MA;41.777647;-69.973120
Osterville;MA;41.632935;-70.386930
Provincetown;MA;42.053355;-70.189470
South Chatham;MA;41.678628;-70.024950
South Dennis;MA;41.712338;-70.161650
South Harwich;MA;41.675799;-70.039600
South Orleans;MA;41.756694;-69.984123
South Wellfleet;MA;41.800531;-70.076776
South Yarmouth;MA;41.670981;-70.197970
Truro;MA;41.992804;-70.054270
Wellfleet;MA;41.922412;-70.014840
West Barnstable;MA;41.706310;-70.370480
West Chatham;MA;41.673635;-69.994940
West Dennis;MA;41.659749;-70.170890
West Harwich;MA;41.665589;-70.111520
West Hyannisport;MA;41.636077;-70.319620
West Yarmouth;MA;41.656883;-70.237260
Yarmouth Port;MA;41.703205;-70.223950
Assonet;MA;41.792192;-71.064460
Attleboro;MA;41.928099;-71.314560
Chartley;MA;41.756214;-71.067062
Cuttyhunk;MA;41.429673;-70.895400
Dartmouth;MA;41.756214;-71.067062
Dighton;MA;41.811514;-71.136330
East Freetown;MA;41.765934;-70.953320
East Taunton;MA;41.876249;-71.018270
Fairhaven;MA;41.634152;-70.881400
Fall River;MA;41.684152;-71.174360
Somerset;MA;41.754828;-71.148940
Easton;MA;41.999346;-71.113582
Marion;MA;41.706599;-70.750860
Mattapoisett;MA;41.654776;-70.800870
New Bedford;MA;41.756214;-71.067062
Acushnet;MA;41.697015;-70.910190
North Dartmouth;MA;41.637916;-70.990760
South Dartmouth;MA;41.591560;-70.949400
North Attleboro;MA;41.756214;-71.067062
Plainville;MA;42.011848;-71.323920
Attleboro Falls;MA;41.967949;-71.310240
North Dighton;MA;41.851557;-71.151250
Norton;MA;41.969185;-71.185400
Raynham;MA;41.934586;-71.049050
Raynham Center;MA;41.756214;-71.067062
Rehoboth;MA;41.835067;-71.261150
Rochester;MA;41.760783;-70.838480
Seekonk;MA;41.843450;-71.323430
Swansea;MA;41.741551;-71.214330
Berkley;MA;41.825252;-71.077990
Taunton;MA;41.756214;-71.067062
South Kingstown;RI;41.487831;-71.457592
Westport;MA;41.602517;-71.089040
Westport Point;MA;41.519104;-71.085137
Adamsville;RI;41.530131;-71.284066
Albion;RI;41.954098;-71.462053
Ashaway;RI;41.430068;-71.781010
Foster;RI;41.830469;-71.711713
Barrington;RI;41.746834;-71.320310
Block Island;RI;41.171389;-71.583580
Bradford;RI;41.402009;-71.747850
Bristol;RI;41.684200;-71.268660
Carolina;RI;41.466030;-71.664080
Charlestown;RI;41.385256;-71.668130
Chepachet;RI;41.896002;-71.703350
Clayville;RI;41.777861;-71.670090
Coventry;RI;41.691050;-71.574620
West Greenwich;RI;41.625874;-71.670230
East Greenwich;RI;41.649733;-71.468150
Exeter;RI;41.563937;-71.605470
Fiskeville;RI;41.731200;-71.546756
Forestdale;RI;42.000248;-71.563057
Glendale;RI;41.982417;-71.600848
Greene;RI;41.695419;-71.744720
Greenville;RI;41.870799;-71.553900
Harmony;RI;41.879298;-71.589357
Harrisville;RI;41.976659;-71.649690
Hope;RI;41.738650;-71.574820
Hope Valley;RI;41.511414;-71.727370
Hopkinton;RI;41.470822;-71.777220
Jamestown;RI;41.520312;-71.371800
Kenyon;RI;41.448844;-71.621450
Little Compton;RI;41.518038;-71.165480
Manville;RI;41.968698;-71.475030
Mapleville;RI;41.948108;-71.640030
Newport;RI;41.498977;-71.299004
Middletown;RI;41.511739;-71.286580
North Kingstown;RI;41.375317;-71.643930
North Scituate;RI;41.839020;-71.625700
Oakland;RI;41.961860;-71.646610
Pascoag;RI;41.964896;-71.723110
Pawtucket;RI;41.872099;-71.390070
Central Falls;RI;41.889863;-71.392600
Cumberland;RI;41.949099;-71.411810
Lincoln;RI;41.905666;-71.430230
Portsmouth;RI;41.603929;-71.260990
Prudence Island;RI;41.707119;-71.286834
Rockville;RI;41.519922;-71.774023
Saunderstown;RI;41.515135;-71.456920
Shannock;RI;41.447642;-71.638770
Slatersville;RI;41.998398;-71.576307
Slocum;RI;41.528900;-71.529854
Tiverton;RI;41.629413;-71.187240
Wakefield;RI;41.423601;-71.523220
Kingston;RI;41.481001;-71.526890
Narragansett;RI;41.432452;-71.463520
Peace Dale;RI;41.375317;-71.643930
Warren;RI;41.726184;-71.270490
Warwick;RI;41.748050;-71.409820
Westerly;RI;41.354881;-71.803870
West Kingston;RI;41.501550;-71.584650
West Warwick;RI;41.703750;-71.518570
Wood River Junction;RI;41.444078;-71.695560
Woonsocket;RI;42.001731;-71.507220
North Smithfield;RI;41.988166;-71.551880
Wyoming;RI;41.514950;-71.684840
North Providence;RI;41.853699;-71.473540
East Providence;RI;41.812400;-71.368340
Riverside;RI;41.769500;-71.355640
Rumford;RI;41.843250;-71.353910
Smithfield;RI;41.894499;-71.516460
Providence;RI;41.841499;-71.440352
Johnston;RI;41.825132;-71.494680
Cranston;RI;41.771500;-71.464850
Amherst;NH;42.854886;-71.608200
Auburn;NH;43.000345;-71.351410
Brookline;NH;42.742587;-71.666050
Candia;NH;43.048372;-71.307800
Chester;NH;42.967823;-71.234530
Deerfield;NH;43.141746;-71.248800
Derry;NH;42.886486;-71.300190
East Candia;NH;43.005895;-71.013202
East Derry;NH;43.005895;-71.013202
Epping;NH;43.045076;-71.070950
Francestown;NH;42.976901;-71.810070
Fremont;NH;42.986119;-71.125240
Goffstown;NH;43.037495;-71.570230
Dunbarton;NH;43.102146;-71.602132
Greenfield;NH;42.935709;-71.866450
Greenville;NH;42.747024;-71.775910
Hollis;NH;42.739909;-71.580440
Hudson;NH;42.759821;-71.420790
Litchfield;NH;42.850590;-71.453790
Londonderry;NH;42.880481;-71.382050
Merrimack;NH;42.858053;-71.512160
Milford;NH;42.831686;-71.667430
Mont Vernon;NH;42.899434;-71.680570
Sharon;NH;42.798995;-71.950759
Nashua;NH;42.724822;-71.492380
New Ipswich;NH;42.753726;-71.867060
North Salem;NH;43.005895;-71.013202
Pelham;NH;42.734182;-71.323590
Raymond;NH;43.031491;-71.195980
Salem;NH;42.792456;-71.213160
Lyndeborough;NH;42.902259;-71.784520
Temple;NH;42.819490;-71.850630
Wilton;NH;42.830184;-71.781770
Windham;NH;42.805194;-71.298780
Manchester;NH;43.006033;-71.447160
Hooksett;NH;43.058785;-71.444120
Bedford;NH;42.942551;-71.519930
Waterville Valley;NH;43.951304;-71.503360
Andover;NH;43.444702;-71.784010
Ashland;NH;43.705061;-71.627780
Barnstead;NH;43.338347;-71.293050
Belmont;NH;43.459555;-71.473520
Bradford;NH;43.256053;-71.954050
Bristol;NH;43.615799;-71.750060
Campton;NH;43.887682;-71.651610
Canterbury;NH;43.346137;-71.544340
Center Barnstead;NH;43.354005;-71.228190
Center Harbor;NH;43.721094;-71.496520
Center Sandwich;NH;43.802936;-71.451260
Contoocook;NH;43.204192;-71.707110
Danbury;NH;43.506405;-71.872810
East Andover;NH;43.466172;-71.736518
East Hebron;NH;43.967542;-71.840883
Elkins;NH;43.423484;-71.936480
Epsom;NH;43.228594;-71.361100
Franklin;NH;43.444456;-71.660340
Gilmanton;NH;43.429750;-71.375170
Glencliff;NH;43.967542;-71.840883
Grafton;NH;43.568328;-71.964220
Hebron;NH;43.713794;-71.806420
Henniker;NH;43.173469;-71.817220
Hill;NH;43.521669;-71.738150
Hillsboro;NH;43.119417;-71.921080
Holderness;NH;43.737831;-71.604406
Laconia;NH;43.555878;-71.398521
Lincoln;NH;44.051981;-71.660600
Lochmere;NH;43.468562;-71.537145
Meredith;NH;43.644559;-71.504880
Moultonborough;NH;43.712184;-71.392990
Newbury;NH;43.325820;-72.026540
New Hampton;NH;43.607680;-71.643720
New London;NH;43.418863;-72.000040
Chichester;NH;43.255881;-71.397599
North Sandwich;NH;43.880005;-71.394750
North Sutton;NH;43.356838;-71.925500
Northwood;NH;43.216633;-71.207900
North Woodstock;NH;44.028500;-71.687010
Pittsfield;NH;43.303680;-71.321500
Plymouth;NH;43.753837;-71.645030
Rumney;NH;43.806365;-71.879520
Salisbury;NH;43.388571;-71.741990
Sanbornton;NH;43.523175;-71.587600
New Boston;NH;43.203614;-71.550864
South Newbury;NH;43.310279;-71.662928
South Sutton;NH;43.317257;-71.927090
Stinson Lake;NH;43.967542;-71.840883
Suncook;NH;43.152469;-71.436540
Warner;NH;43.283838;-71.825370
Warren;NH;43.938224;-71.888530
Washington;NH;43.173046;-72.097550
Weare;NH;43.080986;-71.723290
Wentworth;NH;43.874357;-71.917650
Springfield;NH;43.501755;-72.012960
Wilmot;NH;43.430018;-71.904570
Winnisquam;NH;43.496372;-71.519728
Nottingham;NH;43.115874;-71.110810
West Nottingham;NH;43.179984;-71.139200
Woodstock;NH;43.967542;-71.840883
Tilton;NH;43.524872;-71.445841
Bow;NH;43.144614;-71.535760
Concord;NH;43.213400;-71.517151
Loudon;NH;43.317730;-71.453400
Keene;NH;42.947098;-72.243029
Antrim;NH;43.060424;-71.950680
Ashuelot;NH;42.791069;-72.435200
Bennington;NH;43.005429;-71.916350
Chesterfield;NH;42.871815;-72.471630
Dublin;NH;42.899874;-72.063340
Sullivan;NH;43.009728;-72.193830
Swanzey;NH;42.870578;-72.299780
Gilsum;NH;43.055293;-72.261490
Hancock;NH;42.975105;-71.989130
Harrisville;NH;42.941175;-72.060430
Hinsdale;NH;42.797633;-72.495180
Jaffrey;NH;42.827096;-72.034180
